Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2025-02-20,00:00:00,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,2,2,4
2025-02-20,01:00:00,,,,,,,,,,,,,,,4,1,,1,,,,,,,,,,,,,4,2,6
2025-02-20,02:00:00,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,3
2025-02-20,03:00:00,,,3,1,,,,,,,,,,,2,,1,2,,,,,1,,,,,,,,7,3,10
2025-02-20,04:00:00,1,1,1,1,,,7,1,,,2,1,,4,3,1,1,1,,1,3,3,,,,,,,,,18,14,32
2025-02-20,05:00:00,,,,2,,,2,13,,,,3,4,13,2,13,1,3,,2,6,8,,1,,,,,,,15,58,73
2025-02-20,06:00:00,,,2,2,,,,2,,5,,1,2,1,26,28,4,6,,1,6,13,,,,,,,,,40,59,99
2025-02-20,07:00:00,,4,7,9,,1,,4,1,9,,1,5,3,42,121,6,9,3,2,14,35,,5,,,,,,,78,203,281
2025-02-20,08:00:00,3,,9,8,1,,1,,7,4,,1,3,5,71,67,7,,2,1,28,8,1,3,,,,,,,133,97,230
2025-02-20,09:00:00,1,,6,6,,1,6,4,1,7,,3,11,5,131,151,6,4,3,2,33,39,1,2,,,,,,,199,224,423
2025-02-20,10:00:00,2,1,5,7,1,1,11,2,1,1,1,,9,10,91,144,10,10,5,3,44,60,2,1,,,,,,,182,240,422
2025-02-20,11:00:00,2,,3,5,1,,2,,,8,,2,7,11,85,107,7,4,4,3,41,53,1,7,,,,,,,153,200,353
2025-02-20,12:00:00,1,,9,8,2,1,1,2,2,2,,1,10,11,68,92,7,8,7,5,48,33,1,1,,,,,,,156,164,320
2025-02-20,13:00:00,1,3,3,2,3,4,2,1,1,1,3,7,8,10,101,91,4,5,2,3,45,39,3,1,,,,,,,176,167,343
2025-02-20,14:00:00,,1,12,10,3,,2,2,3,3,3,,9,11,106,84,7,9,,7,40,28,1,2,,,,,,,186,157,343
2025-02-20,15:00:00,,1,4,9,,2,4,1,4,,1,4,11,11,116,112,13,4,3,1,37,41,2,4,,,,,,,195,190,385
