Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2011-11-25,00:00:00,5,7,7,15,2,3,,,,,,,3,7,7,7,3,2,2,3,,,7,5,,,,,,,36,49,85
2011-11-25,01:00:00,7,5,5,12,,2,2,2,,,,,5,3,2,2,,3,,1,,,13,7,,,,,,,34,37,71
2011-11-25,02:00:00,10,2,5,18,3,6,,,,,,,2,7,3,3,,5,,,,,16,6,,,,,,,39,47,86
2011-11-25,03:00:00,15,10,5,18,5,3,27,7,,,,,3,8,18,7,,13,,3,,,12,18,,,,,,,85,87,172
2011-11-25,04:00:00,15,,,4,2,1,20,5,2,2,3,1,2,2,3,7,1,1,1,1,,,3,1,,,,1,,,52,26,78
2011-11-25,05:00:00,22,5,10,13,8,8,32,13,29,18,1,2,10,10,40,27,2,10,5,7,2,2,20,7,,,3,4,,,184,126,310
2011-11-25,06:00:00,18,15,18,12,10,5,26,25,45,35,7,3,30,19,95,35,7,10,6,11,2,2,20,10,,2,8,7,,,292,191,483
2011-11-25,07:00:00,5,1,5,9,4,6,3,9,17,21,2,4,7,4,67,133,2,,7,4,5,,6,15,,,5,3,,,135,209,344
2011-11-25,08:00:00,1,5,6,8,4,4,7,7,35,25,1,,19,25,150,146,7,3,6,8,4,5,11,16,1,,5,3,,,257,255,512
2011-11-25,09:00:00,7,3,7,5,3,2,7,5,28,45,1,,21,37,150,200,6,8,5,7,4,5,9,10,2,1,5,9,,,255,337,592
2011-11-25,10:00:00,7,6,6,2,8,2,,1,27,28,2,,19,31,155,210,9,5,5,4,6,4,7,15,1,2,7,8,,,259,318,577
2011-11-25,11:00:00,13,8,7,6,6,9,2,4,30,25,,1,31,26,90,205,12,6,7,6,2,6,11,11,,1,15,8,,,226,322,548
2011-11-25,12:00:00,17,8,10,9,1,2,6,4,31,22,,1,35,31,115,103,6,3,4,5,7,7,10,13,,,10,7,,,252,215,467
2011-11-25,13:00:00,5,9,7,8,1,4,4,5,36,33,1,2,38,23,135,210,4,5,4,8,7,8,15,18,2,,5,9,,,264,342,606
2011-11-25,14:00:00,4,22,7,7,4,6,2,5,27,32,2,1,27,32,130,160,7,7,8,5,7,7,12,13,2,,10,6,,,249,303,552
