Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-09,00:00:00,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
2023-05-09,01:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,1
2023-05-09,02:00:00,,,5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,2,7
2023-05-09,03:00:00,,,2,,,1,,,,,,,,1,,3,,,,,,,,,,,,,,,2,5,7
2023-05-09,04:00:00,,,1,,,,,1,,,,,,,,1,,,,,1,,3,,,,,,,,5,2,7
2023-05-09,05:00:00,,,2,2,,1,,,,,,,,1,7,10,1,1,1,,,2,,2,,,,,,,11,19,30
2023-05-09,06:00:00,,1,1,1,1,1,,,,,,1,,1,6,23,1,3,2,2,1,2,2,,,,,,,,14,35,49
2023-05-09,07:00:00,,,,2,2,,,,1,,,1,,2,5,32,1,7,1,2,1,6,1,5,,,,,,,12,57,69
2023-05-09,08:00:00,,1,3,3,,,,,,,,16,2,9,9,35,2,10,,1,1,6,,3,,,,,,,17,84,101
2023-05-09,09:00:00,,,2,1,,1,,1,,1,1,21,1,12,15,43,6,9,1,1,4,8,3,5,,,,,,,33,103,136
2023-05-09,10:00:00,,,,1,,,,,,,2,8,1,13,13,32,6,5,1,6,,5,6,1,,,,,,,29,71,100
2023-05-09,11:00:00,1,,,,,,,1,,,2,3,,7,9,33,1,1,3,4,3,6,12,1,,,,,,,31,56,87
2023-05-09,12:00:00,,,,2,,1,,,,,,1,,3,18,20,2,4,,2,3,5,11,,,,,,,,34,38,72
2023-05-09,13:00:00,,,,3,1,1,,,,,,3,,3,16,22,4,10,4,6,3,5,20,1,,,,,,,48,54,102
2023-05-09,14:00:00,,4,,6,,2,1,,,,,1,3,3,21,27,5,2,,1,4,1,14,,,,,,,,48,47,95
2023-05-09,15:00:00,,,1,,,1,,,,,2,3,,6,3,21,3,3,2,3,4,11,6,1,,,,,,,21,49,70
2023-05-09,16:00:00,,,4,2,,2,,,,,,3,1,12,21,32,4,4,4,3,3,2,9,3,,,,,,,46,63,109
